goods_simpl_classification,nbr_occurences_simpl,medicinales_classification,obsolete,nbr_obs,nbr_occurences_medicinales
meules à moudre de 1949 millimètres à 1299 en diamètre,2,not a medical product,non,2,530316
meules à moudre de moins de 1299 millimètres en diamètre,3,not a medical product,non,3,530316
meules à moudre de plus de 1949 millimètres en diamètre,2,not a medical product,non,2,530316
meules à sabres,2,not a medical product,non,1,530316
meules à sucre,3,not a medical product,non,3,530316
meules à taillandier,196,not a medical product,non,167,530316
meules à taillandier d'1 à 2 pieds,1,not a medical product,non,1,530316
meules à taillandier de 2 pieds,1,not a medical product,non,1,530316
meules à taillandier de 3 à 4,1,not a medical product,non,1,530316
meules à taillandier de 4 à 5,1,not a medical product,non,1,530316
meules à taillandier de 4 à 5 pouces,1,not a medical product,non,1,530316
meules à taillandier de 4 pieds,1,not a medical product,non,1,530316
meules à Talandier,2,not a medical product,non,2,530316
meules acoustiques,1,not a medical product,non,1,530316
meules affiloires,7,not a medical product,non,7,530316
meules assorties,1,not a medical product,non,,530316
meules au dessous de 4 pouces,1,not a medical product,non,1,530316
meules au dessus de 4 pouces,1,not a medical product,non,1,530316
meules bâtardes,34,not a medical product,non,22,530316
meules brodées,1,,non,,1394
meules coutier,1,not a medical product,non,1,530316
meules de 4 pieds,1,not a medical product,non,1,530316
meules de coutelier,2,not a medical product,non,2,530316
meules de différents modules à aiguiser,4,not a medical product,non,4,530316
meules de différents modules à moudre,4,not a medical product,non,4,530316
meules de pierre,14,not a medical product,non,,530316
meules en têtes de renne,1,not a medical product,non,1,530316
meules ordinaires et à taillandier,1,not a medical product,non,1,530316
meules petites,2,not a medical product,non,2,530316
meules pour moulin,6,not a medical product,non,5,530316
meules pour moulins,268,not a medical product,non,249,530316
meules pour moulins de 4 pieds 1/2,1,not a medical product,non,,530316
meules pour moulins de 55 pieds,1,not a medical product,non,,530316
meules pour moulins de 6 pieds,1,not a medical product,non,,530316
meules pour moulins de haute catégorie,2,not a medical product,non,1,530316
meules pour moulins dites grand loup d'Angleterre,1,not a medical product,non,1,530316
meules pour moulins dites petit loup d'Angleterre,1,not a medical product,non,1,530316
meules pour moulins du poids de 1200 à 1800 livres,1,not a medical product,non,1,530316
meules pour moulins du poids de 2000 à 2800 livres,1,not a medical product,non,1,530316
meules pour moulins du poids de 300 à 1000 livres,1,not a medical product,non,1,530316
meules pour moulins du poids de 3000 à 4000 livres,1,not a medical product,non,1,530316
meules pour moulins du poids de 5000 à 6000 livres,1,not a medical product,non,1,530316
meules pour moulins grosses,1,not a medical product,non,1,530316
meules pour moulins petites,3,not a medical product,non,1,530316
meulières,1,not a medical product,non,1,530316
meuniers,1,not a medical product,non,1,530316
microscope,1,not a medical product,non,1,530316
miel,1329,not a medical product,non,1042,530316
miel blanc,1,not a medical product,non,1,530316
miel brouche,1,not a medical product,non,1,530316
miel brun,1,not a medical product,non,1,530316
miel brut,1,not a medical product,non,1,530316
miel commun,1,not a medical product,non,1,530316
miel cru,4,not a medical product,non,4,530316
miel cuit,4,not a medical product,non,4,530316
miel de Narbonne,5,not a medical product,non,4,530316
miel façonné,7,not a medical product,non,7,530316
mignonette,1,,non,,1394
mignonette au quart de soie,1,not a medical product,non,,530316
mignonette avec un brin de soie,1,not a medical product,non,1,530316
mignonette de soie,1,,non,,1394
mignonette des prises,2,not a medical product,non,2,530316
mignonette étoffe,9,not a medical product,non,7,530316
mignonnette,38,not a medical product,non,33,530316
mignotte étoffe,4,not a medical product,non,1,530316
migon,18,not a medical product,non,15,530316
mil,3,not a medical product,non,1,530316
mille gants,3,not a medical product,non,3,530316
milleret,1,not a medical product,non,1,530316
millet,10,not a medical product,non,10,530316
mine,3,not a medical product,non,,530316
mine d'alquifoux,1,not a medical product,non,1,530316
mine d'asphalte,1,not a medical product,non,1,530316
mine de borde,1,,non,,1394
mine de cuivre,4,not a medical product,non,3,530316
mine de cuivre rouge,1,not a medical product,non,1,530316
mine de fer,81,not a medical product,non,81,530316
mine de plomb,332,not a medical product,non,300,530316
mine de plomb noire,2,not a medical product,non,2,530316
mine de plomb rouge,2,not a medical product,non,2,530316
mine de Prusse,1,not a medical product,non,1,530316
mine de roche,3,not a medical product,non,3,530316
mine lavée,1,not a medical product,non,1,530316
minerai de fer brut ou lavé,2,not a medical product,non,2,530316
minerai de fer chromaté,2,not a medical product,non,2,530316
minerai de fer sulfuré,1,not a medical product,non,1,530316
minerai de plomb,1,not a medical product,non,1,530316
minéraux,2,not a medical product,non,2,530316
minium,99,not a medical product,non,97,530316
minium et mine orange,4,not a medical product,non,4,530316
minium rouge divisé,3,not a medical product,non,3,530316
minutier,3,not a medical product,non,3,530316
miny,259,not a medical product,non,221,530316
mireau,2,not a medical product,non,2,530316
mirke,1,not a medical product,non,1,530316
mirobolant,47,narrow medical product,non,43,24136
miroirs,206,not a medical product,non,164,530316
miroirs à bordures dorées,6,not a medical product,non,6,530316
miroirs à bordures dorées et grands,1,not a medical product,non,1,530316
miroirs à bordures dorées et petits,1,not a medical product,non,1,530316
miroirs à cadres dorés,10,not a medical product,non,7,530316
miroirs communs,3,not a medical product,non,2,530316
miroirs d'1 pied et demi,1,not a medical product,non,1,530316
miroirs d'Allemagne,1,not a medical product,non,1,530316
miroirs de 2 pieds,1,not a medical product,non,1,530316
miroirs de 25 pieds de haut et 1 de large,1,not a medical product,non,1,530316
miroirs de poche,2,not a medical product,non,,530316
miroirs de toilette,4,not a medical product,non,,530316
miroirs de traite,5,not a medical product,non,5,530316
miroirs encadrés,1,not a medical product,non,1,530316
miroirs grands,4,not a medical product,non,4,530316
miroirs grands de plus de 3 millimètres d'épaisseurs,2,not a medical product,non,2,530316
miroirs petits,32,not a medical product,non,20,530316
miroirs petits sans distinction,2,not a medical product,non,2,530316
mistelle,1,not a medical product,non,,530316
mitaines,1,not a medical product,non,1,530316
mitaines bordées de soie par paires,3,not a medical product,non,3,530316
mitaines brodées,1,not a medical product,non,1,530316
mitaines de peau,1,not a medical product,non,1,530316
mitaines de peau lisérées de soie,1,not a medical product,non,1,530316
mitaines de soie,2,not a medical product,non,2,530316
mitaines de taffetas,2,not a medical product,non,2,530316
mitaines garnies de ruban,1,not a medical product,non,1,530316
mitaines garnies de soie,9,not a medical product,non,9,530316
mitaines liserées,1,not a medical product,non,1,530316
mitons à pierres fausses par paires de velours,1,not a medical product,non,1,530316
mitons de soie,3,not a medical product,non,3,530316
mitraille,2,not a medical product,non,1,530316
mitraille de cuivre,1,not a medical product,non,1,530316
mitraille vieille en batterie de cuisine,1,not a medical product,non,,530316
mitrailles de cuivre,103,not a medical product,non,91,530316
mitrailles de cuivre pur vieux,1,not a medical product,non,1,530316
mittes,2,not a medical product,non,2,530316
mittes de soie,9,not a medical product,non,9,530316
mittières de fer,1,not a medical product,non,1,530316
mobilier,805,not a medical product,non,777,530316
mobilier vieux,14,not a medical product,non,13,530316
mode de bœuf,1,not a medical product,non,1,530316
"mode, peaux, porcelaine, ruban 16 onces",1,not a medical product,non,,530316
modèle de château de carton,1,not a medical product,non,1,530316
modèle de plâtre,1,not a medical product,non,1,530316
modèle de sculpture,1,not a medical product,non,1,530316
modes de Montauban,1,not a medical product,non,1,530316
moelle,1,not a medical product,non,1,530316
moelle de bœuf,10,not a medical product,non,6,530316
moellons,6,not a medical product,non,3,530316
moellons à faire chaux,1,not a medical product,non,,530316
moellons à faire des bâtiments,1,not a medical product,non,,530316
moellons de brique,2,not a medical product,non,2,530316
moellons pierres meulières etc.,2,not a medical product,non,2,530316
moines garnis de fer-blanc,1,not a medical product,non,1,530316
moire,1,not a medical product,non,,530316
moire blanche,2,not a medical product,non,1,530316
moire d'argent,1,not a medical product,non,,530316
molenaers,1,not a medical product,non,1,530316
molleton,103,not a medical product,non,99,530316
molleton aune,1,not a medical product,non,1,530316
molleton de capiton,4,not a medical product,non,4,530316
molleton de coton,16,not a medical product,non,16,530316
molleton de laine,28,not a medical product,non,28,530316
molleton de laine imprimé,2,not a medical product,non,2,530316
molleton de soie,1,not a medical product,non,1,530316
molleton et taffetas de laine,3,not a medical product,non,3,530316
molleton frisé,1,not a medical product,non,1,530316
mollues,1,not a medical product,non,,530316
momade,1,not a medical product,non,1,530316
momie,7,not a medical product,non,7,530316
moncayard,5,not a medical product,non,5,530316
mongette,44,not a medical product,non,41,530316
mongistere,7,not a medical product,non,6,530316
monnaies au type étranger,95,not a medical product,non,95,530316
monnaies d'argent,31,not a medical product,non,28,530316
monnaies d'argent en espèces coursables,1,not a medical product,non,1,530316
monnaies d'argent et d'or et au type étranger,7,not a medical product,non,7,530316
monnaies d'argent par Calais,2,not a medical product,non,2,530316
monnaies d'argent par Strasbourg et Metz,1,not a medical product,non,1,530316
monnaies d'argent par Valenciennes,1,not a medical product,non,1,530316
monnaies d'or,18,not a medical product,non,18,530316
monnaies d'or par Calais,1,not a medical product,non,1,530316
monnaies d'or quadruple,3,not a medical product,non,3,530316
monnaies de billon,3,not a medical product,non,3,530316
monnaies de cuivre,47,not a medical product,non,42,530316
monnaies de cuivre de Suède,4,not a medical product,non,2,530316
monnaies de cuivre jaune,1,not a medical product,non,1,530316
monnaies de cuivre ouvré,1,not a medical product,non,1,530316
monnaies de cuivre pur,4,not a medical product,non,4,530316
monnaies du Portugal,1,not a medical product,non,,530316
montichon,2,not a medical product,non,,530316
montres,2,not a medical product,non,1,530316
montres d'argent,8,not a medical product,non,7,530316
montres d'argent et d'or,1,not a medical product,non,1,530316
montres d'or,9,not a medical product,non,8,530316
montres d'or à répétition,1,not a medical product,non,1,530316
montres d'or ordinaires,1,not a medical product,non,1,530316
montres de cuivre,2,not a medical product,non,2,530316
montres de poche,3,not a medical product,non,2,530316
montres de poche à caisse d'argent,1,not a medical product,non,1,530316
montres de poche à caisse d'or,1,not a medical product,non,1,530316
montres de poches à caisse de pinsbeck,1,not a medical product,non,1,530316
montres et pendule,1,not a medical product,non,1,530316
moques de grès,1,not a medical product,non,1,530316
moquette,136,not a medical product,non,132,530316
moquette de fil et de laine,4,not a medical product,non,4,530316
moquette de fil et laine,1,not a medical product,non,1,530316
moquette de laine,2,not a medical product,non,2,530316
moquette de laine et de fil,1,not a medical product,non,1,530316
moquette grasse de laine et fil,1,not a medical product,non,1,530316
moquette rouge,1,not a medical product,non,,530316
moquette verte,1,not a medical product,non,1,530316
morceaux cousus,2,not a medical product,non,2,530316
morceaux cousus de hamsters,2,not a medical product,non,2,530316
morceaux cousus de lapins et lièvres,2,not a medical product,non,2,530316
morceaux cousus dos et ventre de petits-gris,2,not a medical product,non,2,530316
morceaux d'espars,1,not a medical product,non,1,530316
morceaux de bois,1,not a medical product,non,1,530316
morceaux de bois ordinaire de 6 à 7 pieds,1,not a medical product,non,,530316
morceaux de bois puant de 6 pieds,1,not a medical product,non,,530316
morceaux de planches,1,not a medical product,non,1,530316
morceaux de sapin,2,not a medical product,non,,530316
morenine de soie,1,not a medical product,non,1,530316
morilles,16,not a medical product,non,16,530316
