goods_simpl_classification,nbr_occurences_simpl,medicinales_classification,obsolete,nbr_obs,sitc18_rev3,nbr_occurences_medicinales
huile d'anis,28,not a medical product,non,25,4,530318
huile d'anis carvi et fenouil,1,not a medical product,non,1,4,530318
huile d'anis et fenouil,2,not a medical product,non,2,4,530318
huile d'aspic,58,not a medical product,non,52,4,530318
huile d'élite dite keurolie,1,not a medical product,non,1,4,530318
huile d'enc,1,not a medical product,non,1,???,530318
huile d'étain,1,not a medical product,non,1,4,530318
huile d'œillette,31,not a medical product,non,31,4,530318
huile d'olive,3292,not a medical product,non,2680,4,530318
huile d'olive à manger,11,not a medical product,non,11,4,530318
huile d'olive blanche de Gênes,1,not a medical product,non,1,4,530318
huile d'olive comestible,3,not a medical product,non,3,4,530318
huile d'olive commune,18,not a medical product,non,14,4,530318
huile d'olive Corse pour la France,1,not a medical product,non,1,4,530318
huile d'olive de fèce ou fie d'huile,2,not a medical product,non,2,4,530318
huile d'olive et autres pour fabrique,21,not a medical product,non,21,4,530318
huile d'olive fine,123,not a medical product,non,120,4,530318
huile d'olive importée en grande partie à Marseille,1,not a medical product,non,1,4,530318
huile d'olive pour fabrique,245,not a medical product,non,245,4,530318
huile d'olive pour fabrique de la Corse,1,not a medical product,non,1,4,530318
huile d'ours,1,not a medical product,non,1,4,530318
huile de baleine,90,not a medical product,non,83,4,530318
huile de baleine et spirituelle,1,not a medical product,non,1,9c,530318
huile de baume,1,narrow medical product,non,1,5,24146
huile de benedie,1,not a medical product,non,1,5,530318
huile de benjoin,1,narrow medical product,non,1,5,24146
huile de brique,1,not a medical product,non,,,530318
huile de cacao,2,not a medical product,non,2,9c,530318
huile de cacao et palme,1,not a medical product,non,1,5,530318
huile de cade,4,not a medical product,non,3,5,530318
huile de cahouanne,3,not a medical product,non,3,5,530318
huile de cannelle,17,narrow medical product,non,15,4,24146
huile de cannelle macis muscade de Rhodes et rose,2,not a medical product,non,2,4,530318
huile de carabe,7,narrow medical product,non,7,4,24146
huile de carde,3,not a medical product,non,3,4,530318
huile de casse cède cédrin genièvre,2,not a medical product,non,2,5,530318
huile de castor,1,not a medical product,non,,,530318
huile de chanvre,11,not a medical product,non,11,4,530318
huile de chien de mer,2,not a medical product,non,2,4,530318
huile de chimie,1,not a medical product,non,1,5,530318
huile de chimie ?,1,,non,,,1431
huile de citron bergamote et orange,1,not a medical product,non,1,4,530318
huile de coco,1,not a medical product,non,1,4,530318
huile de copahu,53,narrow medical product,non,38,4,24146
huile de corde,1,not a medical product,non,,,530318
huile de corne de cerf,1,narrow medical product,non,1,4,24146
huile de crabette,1,not a medical product,non,1,???,530318
huile de crème,1,not a medical product,non,1,4,530318
huile de cumin,1,narrow medical product,non,1,4,24146
huile de dégras,1,not a medical product,non,1,4,530318
huile de faine et de noix,5,not a medical product,non,5,4,530318
huile de farde,1,not a medical product,non,1,???,530318
huile de Flandre,1,not a medical product,non,1,5,530318
huile de flanelle,1,not a medical product,non,1,???,530318
huile de Florence,1,not a medical product,non,,,530318
huile de gaïac,1,narrow medical product,non,1,4,24146
huile de Garonne,1,not a medical product,non,1,4,530318
huile de genièvre,14,narrow medical product,non,13,1,24146
huile de girofle,46,not a medical product,non,41,4,530318
huile de girofle et sassafras,1,not a medical product,non,1,4,530318
huile de girofle et spirituelle,1,not a medical product,non,1,4,530318
huile de grain,4,not a medical product,non,4,4,530318
huile de graine,630,not a medical product,non,587,4,530318
huile de graine d'anis,1,not a medical product,non,1,4,530318
huile de graine d'olive,1,not a medical product,non,1,4,530318
huile de graine de cannelle,1,not a medical product,non,1,4,530318
huile de graine de colza lin navette etc. et de noix,2,not a medical product,non,2,4,530318
huile de graine de girofle,1,not a medical product,non,1,4,530318
huile de graine de lin,3,not a medical product,non,2,4,530318
huile de graine de macis,1,not a medical product,non,1,4,530318
huile de graine de moutarde,1,not a medical product,non,1,4,530318
huile de graine de navette,1,not a medical product,non,1,4,530318
huile de graine de navette et de chanvre,1,not a medical product,non,2,4,530318
huile de graine de poisson,1,not a medical product,non,1,4,530318
huile de graine de Rhodes,1,not a medical product,non,1,4,530318
huile de graine de térébenthine,1,not a medical product,non,1,4,530318
huile de graine et de lin,6,not a medical product,non,6,4,530318
huile de graine et de noix,38,not a medical product,non,38,4,530318
huile de graine grasse,3,not a medical product,non,3,4,530318
huile de grains,5,not a medical product,non,5,4,530318
huile de grains à peinures,1,not a medical product,non,1,4,530318
huile de graisse,2,not a medical product,non,2,4,530318
huile de graisse de poisson,1,not a medical product,non,1,4,530318
huile de gras,1,not a medical product,non,1,4,530318
huile de gras et de traens pour tanneurs,1,not a medical product,non,,4,530318
huile de gras pour tanneurs,1,not a medical product,non,,4,530318
huile de Haarlem,1,not a medical product,non,1,5,530318
huile de hareng,1,not a medical product,non,1,4,530318
huile de jasmin,17,narrow medical product,non,14,5,24146
huile de jasmin et autres fleurs,3,not a medical product,non,3,5,530318
huile de jayet,1,not a medical product,non,1,5,530318
huile de laine,1,not a medical product,non,1,4,530318
huile de laurier,75,narrow medical product,non,72,4,24146
huile de lavande,6,not a medical product,non,5,4,530318
huile de lin,841,not a medical product,non,675,4,530318
huile de lin et spirituelle,6,not a medical product,non,6,3,530318
huile de lin pour l'entrepôt pour la Compagnie des Indes,1,not a medical product,non,,,530318
huile de loifon,9,not a medical product,non,9,???,530318
huile de loup marin,7,not a medical product,non,7,4,530318
huile de maïs,1,not a medical product,non,1,4,530318
huile de Majorque,1,not a medical product,non,1,4,530318
huile de marjolaine et sauge,1,not a medical product,non,1,4,530318
huile de menthe,1,not a medical product,non,1,4,530318
huile de morne,2,not a medical product,non,2,4,530318
huile de morue,84,not a medical product,non,56,4,530318
huile de muscade,24,not a medical product,non,20,4,530318
huile de navette,179,not a medical product,non,162,4,530318
huile de noisettes,2,,non,,,1431
huile de noix,253,not a medical product,non,207,4,530318
huile de Palma Christi,9,not a medical product,non,5,5,530318
huile de palme,32,not a medical product,non,28,4,530318
huile de palmier,1,not a medical product,non,,,530318
huile de parfum,4,not a medical product,non,3,5,530318
huile de peinture,1,not a medical product,non,1,5,530318
huile de pierre,1,not a medical product,non,1,3,530318
huile de pignon et ricin,2,not a medical product,non,2,4,530318
huile de pin,1,not a medical product,non,1,4,530318
huile de plantes,1,not a medical product,non,1,4,530318
huile de poisson,1646,not a medical product,non,1470,4,530318
huile de poisson des Indes,1,not a medical product,non,1,4,530318
huile de poisson et de lin,1,not a medical product,non,1,4,530318
huile de poisson et poix,1,not a medical product,non,1,9c,530318
huile de poix,9,not a medical product,non,9,4,530318
huile de rabette,105,not a medical product,non,91,4,530318
huile de rave,2,not a medical product,non,2,5,530318
huile de Rhodes,14,not a medical product,non,14,5,530318
huile de rhue,1,narrow medical product,non,1,5,24146
huile de romarin,4,not a medical product,non,3,5,530318
huile de rose,4,not a medical product,non,4,5,530318
huile de salmus,1,not a medical product,non,1,???,530318
huile de sassafras,2,narrow medical product,non,1,4,24146
huile de saturne,1,not a medical product,non,,,530318
huile de scorpion,6,narrow medical product,non,5,5,24146
huile de sein,1,not a medical product,non,1,5,530318
huile de semence,1,not a medical product,non,1,4,530318
huile de senteur,97,not a medical product,non,93,5,530318
huile de soldat,3,not a medical product,non,2,4,530318
huile de soufre,2,not a medical product,non,2,5,530318
huile de spermaceti,5,not a medical product,non,5,4,530318
huile de storax,8,narrow medical product,non,7,5,24146
huile de tamarin,2,narrow medical product,non,2,5,24146
huile de tartre,2,not a medical product,non,1,5,530318
huile de térébenthine,235,not a medical product,non,229,5,530318
huile de verre,1,not a medical product,non,1,5,530318
huile de vialle,2,not a medical product,non,2,???,530318
huile de vitriol,289,not a medical product,non,247,5,530318
huile de vitriol et vitriol,24,not a medical product,non,24,5,530318
huile dellevette,2,not a medical product,non,2,5,530318
huile diverse,39,not a medical product,non,40,9b,530318
huile diverse à la valeur,1,not a medical product,non,1,9b,530318
huile du Pérou,3,not a medical product,non,,,530318
huile en crasse,4,not a medical product,non,4,4,530318
huile en crasse ou degnes ???,2,not a medical product,non,2,4,530318
huile en dignar,1,not a medical product,non,1,???,530318
huile essencée,2,not a medical product,non,,,530318
huile essentielle ou volatile de citron girofle menthe rose etc.,2,not a medical product,non,2,5,530318
huile et essence de térébenthine,24,narrow medical product,non,24,5,24146
huile et provisions,1,not a medical product,non,1,9b,530318
huile et rabete,1,not a medical product,non,,,530318
huile et sirop,2,not a medical product,non,1,9b,530318
huile fine,3,not a medical product,non,3,4,530318
huile grap indigo,1,not a medical product,non,1,5,530318
huile grasse d'amandes,4,not a medical product,non,4,4,530318
huile grasse d'olive comestible,4,not a medical product,non,4,4,530318
huile grasse d'olive pour fabrique,4,not a medical product,non,4,4,530318
huile grasse de faine et noix,4,not a medical product,non,4,4,530318
huile grasse de graines autres que lin œillette et pavot,2,not a medical product,non,2,4,530318
huile grasse de graines d'œillette ou pavot,2,not a medical product,non,2,4,530318
huile grasse de graines de lin,2,not a medical product,non,2,4,530318
huile grasse de graines grasses,2,not a medical product,non,2,4,530318
huile grasse de palme,2,not a medical product,non,2,4,530318
huile grasse de palme et pignon,2,not a medical product,non,2,4,530318
huile grasse de ricin,4,not a medical product,non,4,4,530318
huile marc d'olive ou amurca,1,not a medical product,non,1,4,530318
huile médicinale,1,not a medical product,non,1,5,530318
huile pétrole,18,not a medical product,non,17,3,530318
huile pour étranger de poisson,1,not a medical product,non,1,4,530318
huile pour France de poisson,3,not a medical product,non,3,4,530318
huile pour lampe,1,not a medical product,non,1,3,530318
huile rabette,1,not a medical product,non,1,4,530318
huile spirituelle d'olive,8,not a medical product,non,8,4,530318
huile spirituelle de poisson,1,not a medical product,non,1,4,530318
huile stale,1,not a medical product,non,1,???,530318
huile succin,3,narrow medical product,non,3,5,24146
huile superfine,1,not a medical product,non,1,4,530318
huile térébenthine,12,not a medical product,non,12,4,530318
huile vierge,1,not a medical product,non,1,4,530318
huile vitriol,3,not a medical product,non,1,4,530318
huile volatile,2,not a medical product,non,2,4,530318
huile volatile d'anis fenouil marjolaine romarin et sauge,2,not a medical product,non,2,5,530318
huile volatile de cade cèdre ou oxycèdre et gaïac,2,not a medical product,non,2,5,530318
huile volatile de cannelle girofle macis muscade et sassafras,2,not a medical product,non,2,5,530318
huile volatile de citron orange et leurs variétés,2,not a medical product,non,2,5,530318
huile volatile de genièvre,1,not a medical product,non,1,5,530318
huile volatile de jasmin et autres fleurs d'odeur fugace,2,not a medical product,non,2,5,530318
huile volatile de lavande,2,not a medical product,non,2,5,530318
huile volatile de rose et de Rhodes,2,not a medical product,non,2,5,530318
huîtres,107,not a medical product,non,87,0a,530318
huîtres à la daube,64,not a medical product,non,12,0a,530318
huîtres à la daube ou marinée,1,not a medical product,non,,,530318
huîtres à mariner,1,not a medical product,non,1,0a,530318
huîtres en écaille,20,not a medical product,non,20,0a,530318
huîtres en pierres,2,not a medical product,non,2,0a,530318
huîtres fraîches,15,not a medical product,non,15,0a,530318
huîtres fraîches et salées,18,not a medical product,non,18,0a,530318
huîtres marines,1,not a medical product,non,1,0a,530318
hydromel,14,not a medical product,non,13,1,530318
hypochetia,1,not a medical product,non,1,???,530318
hypocristis,1,narrow medical product,non,1,2,24146
