simplification,nbr_occurences_simpl,obsolete,medicinales,nbr_obs,nbr_occurences_medicinales
huile volatile de cannelle girofle macis muscade et sassafras,2,non,not a medical product,2,795416
huile volatile de citron orange et leurs variétés,2,non,not a medical product,2,795416
huile volatile de genièvre,1,non,not a medical product,1,795416
huile volatile de jasmin et autres fleurs d'odeur fugace,2,non,not a medical product,2,795416
huile volatile de lavande,2,non,not a medical product,2,795416
huile volatile de rose et de Rhodes,2,non,not a medical product,2,795416
huitres,98,oui,,,42621
huîtres,387,non,not a medical product,87,795416
huîtres à la daube,70,non,not a medical product,12,795416
huîtres à la daube ou marinée,1,non,not a medical product,,795416
huîtres à mariner,1,non,not a medical product,1,795416
huîtres en écaille,20,non,not a medical product,20,795416
huîtres en pierres,2,non,not a medical product,2,795416
huîtres fraîches,15,non,not a medical product,15,795416
huîtres fraîches et salées,18,non,not a medical product,18,795416
huîtres marines,1,non,not a medical product,1,795416
humains,24,non,not a medical product,16,795416
humains de Guinée,18,non,,,42621
humains de Sénégal,27,non,,,42621
hydromel,123,non,not a medical product,13,795416
hypochetia,1,non,not a medical product,1,795416
hypocristis,1,non,narrow medical product,1,26542
igname,5,non,not a medical product,2,795416
images,17,non,not a medical product,13,795416
images à cadres dorés,1,non,,,42621
images de cire,1,non,not a medical product,1,795416
images de corne,1,non,not a medical product,1,795416
images de livres,1,non,,,42621
images de papier,38,non,not a medical product,35,795416
images de papier et estampes et cartes géographiques,220,non,not a medical product,1,795416
images de parchemin,73,non,not a medical product,10,795416
images de parchemin de corne,2,non,not a medical product,1,795416
images de vélin,6,non,not a medical product,6,795416
images des Indes,1,non,not a medical product,1,795416
images et cartes géographiques,2,non,not a medical product,2,795416
images peintes,2,non,not a medical product,2,795416
images sur papier,1,non,not a medical product,,795416
impériale,9,non,not a medical product,1,795416
impériale de laine,1,non,not a medical product,1,795416
inde,5,non,not a medical product,5,795416
inde de Java,10,non,not a medical product,1,795416
inde fine,28,non,not a medical product,28,795416
inde florée,1,non,not a medical product,1,795416
inde flottante,15,non,not a medical product,15,795416
inde Java,3,oui,not a medical product,3,795416
inde plate,118,non,not a medical product,117,795416
indienne,845,non,not a medical product,541,795416
indienne ???,1,non,not a medical product,2,795416
indienne commune,6,non,not a medical product,2,795416
indienne de coton,21,non,not a medical product,19,795416
indienne de coton et de fil,1,non,not a medical product,1,795416
indienne de coton et siamoise de coton et toile de coton imprimée et toile de coton peinte et toile de coton teinte,25,non,not a medical product,25,795416
indienne de coton et siamoise de coton et toile de coton peinte,16,non,not a medical product,16,795416
indienne de coton et toile de coton peinte,65,non,not a medical product,65,795416
indienne de coton peinte,2,non,not a medical product,2,795416
indienne de différentes qualités,1,non,not a medical product,1,795416
indienne de France,6,non,not a medical product,6,795416
indienne de Suisse,1,non,,,42621
indienne des Indes,4,non,not a medical product,2,795416
indienne des Indes et toile peinte,5,non,not a medical product,5,795416
indienne en coupon,1,non,,,42621
indienne et sitz,143,non,not a medical product,1,795416
indienne et toile perse,1,non,not a medical product,1,795416
indienne étrangère,5,non,not a medical product,5,795416
indienne étrangère et toile peinte,3,non,not a medical product,3,795416
indienne française,1,non,not a medical product,1,795416
indienne nationale et toile peinte,5,non,not a medical product,5,795416
indienne peinte,30,non,not a medical product,27,795416
indigo,6570,non,not a medical product,2648,795416
indigo commun,2,non,not a medical product,2,795416
indigo de Guatemala,6,non,,,42621
indigo de retour,3,non,not a medical product,1,795416
indigo des Îles françaises,1,non,not a medical product,1,795416
indigo des Indes,1,non,not a medical product,1,795416
indigo en gr ???,1,non,not a medical product,1,795416
indigo en grabeau,102,non,,,42621
indigo et sucre,1,non,not a medical product,,795416
indigo floré,13,non,not a medical product,3,795416
indigo guatimalo,8,non,not a medical product,8,795416
indigo inde-plate boules de bleu,1,non,not a medical product,1,795416
indigo par Bordeaux Nantes Le Havre et Dunkerque,1,non,not a medical product,1,795416
injubes,2,non,not a medical product,2,795416
insectes,4,non,not a medical product,4,795416
instruments,110,non,not a medical product,107,795416
instruments d'artillerie,1,non,,,42621
instruments d'arts libéraux,7,non,not a medical product,7,795416
instruments d'astronomie,5,non,not a medical product,5,795416
instruments d'optique lunettier,1,non,,,42621
instruments d'optiques,13,non,not a medical product,11,795416
instruments d'optiques et ouvrages ditto,34,non,not a medical product,1,795416
instruments d'orfèvrerie,1,non,not a medical product,1,795416
instruments de b??? mêlés,1,non,not a medical product,1,795416
instruments de chimie,3,non,not a medical product,3,795416
instruments de chirurgie,48,non,not a medical product,18,795416
instruments de jardinage,1,non,not a medical product,1,795416
instruments de marine,17,non,not a medical product,12,795416
instruments de mathématique,85,non,not a medical product,38,795416
instruments de mathématique et de musique,9,non,not a medical product,9,795416
instruments de mathématique et instruments de chirurgie,49,non,not a medical product,1,795416
instruments de mécanique,3,non,not a medical product,3,795416
instruments de mer,2,oui,not a medical product,2,795416
instruments de mesure,1,non,,,42621
instruments de musique,504,non,not a medical product,406,795416
instruments de musique ???,1,non,not a medical product,1,795416
instruments de musique et autres,11,non,not a medical product,11,795416
instruments de navigation,3,non,not a medical product,1,795416
instruments de physique,24,non,not a medical product,22,795416
instruments de pilotage,4,non,not a medical product,4,795416
instruments épinettes,1,non,not a medical product,1,795416
instruments machine et mécanique,3,non,not a medical product,3,795416
instruments machine et mécanique propres aux arts et aux sciences,11,non,not a medical product,11,795416
instruments pour hôpitaux militaires,1,non,,,42621
instruments pour la pêche,10,non,not a medical product,9,795416
instruments pour les arts et les sciences,181,non,not a medical product,180,795416
instruments propres aux arts libéraux,10,non,not a medical product,6,795416
instruments propres aux science,2,non,not a medical product,2,795416
ipécacuanha,310,non,narrow medical product,271,26542
iranis,1,non,not a medical product,1,795416
iris,182,non,narrow medical product,156,26542
iris de citron,1,non,narrow medical product,1,26542
iris de Florence,60,non,narrow medical product,54,26542
irtaine,1,oui,not a medical product,1,795416
isaris d'auf,1,non,not a medical product,1,795416
isatis,5,non,not a medical product,5,795416
issarions de palme,4,non,not a medical product,4,795416
istarions d'espars,1,non,not a medical product,1,795416
ita à planter,1,non,not a medical product,,795416
Itaine de laine,1,non,not a medical product,1,795416
ivies,1,non,not a medical product,1,795416
ivoire,86,non,not a medical product,41,795416
ivoire brûlé,2,non,not a medical product,1,795416
ivoire brut,81,non,not a medical product,1,795416
ivoire de Dieppe,1,non,not a medical product,1,795416
ivoire en grabeau,2,non,,,42621
ivoire en morceaux,2,non,not a medical product,2,795416
ivoire et or,10,non,,,42621
ivoire noir,1,non,not a medical product,1,795416
ivoire ou morphil,1,oui,not a medical product,1,795416
jaillet,2,non,not a medical product,1,795416
jais,139,non,not a medical product,113,795416
jais brut,1,non,not a medical product,1,795416
jais de chêne,1,non,not a medical product,1,795416
jais ou ouvrages de jais,1,non,not a medical product,1,795416
jalap,482,non,narrow medical product,400,26542
jalap en grabeau,1,non,,,42621
jamard,2,non,not a medical product,1,795416
jamavar,21,non,not a medical product,4,795416
jambon,1385,non,not a medical product,1020,795416
jambon de Bayonne,11,non,not a medical product,9,795416
jambon de Mayence,6,non,not a medical product,3,795416
jambon du pays,1,non,not a medical product,1,795416
jambon et lard,1,non,not a medical product,,795416
jambon et lard salé,1,non,not a medical product,1,795416
jambon et saucissons,1,non,not a medical product,1,795416
jambon fumé,28,non,not a medical product,27,795416
jambon lard et saucissons,1,non,not a medical product,1,795416
jambon non fumé,2,non,not a medical product,2,795416
jambon pour l'entrepôt de la Compagnie,1,non,not a medical product,,795416
jambon salé,100,non,not a medical product,87,795416
jambons,8,oui,not a medical product,7,795416
jantes,100,non,not a medical product,1,795416
jantes et rais,5,non,not a medical product,1,795416
japonis,1,non,,,42621
jardinage divers,1,non,not a medical product,1,795416
jardinage jasmin,2,non,not a medical product,2,795416
jarres,228,non,not a medical product,124,795416
jarres de grès,1,non,,,42621
jarres de terre,26,non,not a medical product,23,795416
jarres et dame-jeannes,61,non,,,42621
jarres vides,1,non,not a medical product,1,795416
jarretières,3,non,not a medical product,3,795416
jarretières d'argent,4,non,not a medical product,3,795416
jarretières d'argent et d'or,1,non,not a medical product,1,795416
jarretières d'argent et d'or et de soie,1,non,not a medical product,1,795416
jarretières de fil,3,non,not a medical product,2,795416
jarretières de filoselle,2,non,not a medical product,2,795416
jarretières de fleuret,12,non,not a medical product,12,795416
jarretières de laine,11,non,not a medical product,7,795416
jarretières de soie,23,non,not a medical product,19,795416
jarretières et ruban de laine,1,non,not a medical product,1,795416
jarretières et tresse de laine,1,non,not a medical product,1,795416
jas,1,non,not a medical product,1,795416
jaspe,3,non,not a medical product,3,795416
jatape,1,non,not a medical product,1,795416
jattes de bois,3,non,not a medical product,3,795416
jaune commun,64,non,not a medical product,1,795416
jaune de Cassel,1,non,not a medical product,1,795416
jaune de chrome,2,non,not a medical product,2,795416
jaune de Naples,87,non,not a medical product,68,795416
jaune doré,7,non,not a medical product,1,795416
jaune gros,1,non,not a medical product,1,795416
jaune paille,2,non,not a medical product,1,795416
jaune royal,2,non,not a medical product,1,795416
jeanette de laine,1,non,,,42621
jeanne,1,non,not a medical product,1,795416
jeanne gros,1,non,not a medical product,1,795416
jet de bière,10,non,not a medical product,1,795416
jet et lie de bière,136,non,not a medical product,1,795416
jetons d'argent,1,non,not a medical product,1,795416
jetons de cuivre,2,non,not a medical product,,795416
jets de canettes,2,non,not a medical product,,795416
jets de canettes de grès,3,non,,,42621
jets de cannes,3,non,not a medical product,2,795416
jets de cannes à poignée d'ambre,1,non,not a medical product,1,795416
jets de creusets,2,non,,,42621
jets de grès,1,non,not a medical product,,795416
jets de terre,1,non,not a medical product,1,795416
jets de voile,43,oui,not a medical product,24,795416
jeux d'échecs,1,non,not a medical product,1,795416
jeux d'écrevisse,1,non,not a medical product,,795416
jeux d'orgues,1,non,,,42621
jeux de camagnolle,2,non,not a medical product,1,795416
