marchandises_normalisees	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_RG	SITC_rev1	SITC_rev2	remarques_marchandises
"Mouchoirs de soie"	8	"8"	""	""	""	""	""
"Mouchoirs de toile"	8	"8"	""	""	""	""	""
"Mouchoirs de toile découpés"	8	"8"	""	""	""	""	""
"Mouchoirs demi soie"	8	"8"	""	""	""	""	""
"Mouchoirs et cravates de mousseline"	8	"8"	""	""	""	""	""
"Mouchoirs et cravates de soie mêlée"	8	"8"	""	""	""	""	""
"Moules"	0	"0a"	""	""	""	""	""
"Moules ; de bouton"		""	""	"…"	"0"	"0a"	""
"Moules ; de mouton"		""	""	"…"	"0"	"0a"	""
"Moules ; pour chandelles"	6	"6"	""	""	""	""	""
"Moulins ; de bois"	6	"6"	""	""	""	""	""
"Moulins ; de fer"		""	""	"..."	"8"	"8"	""
"Moulins ; à café"	6	"6"	""	""	""	""	""
"Moulins ; à dessécher"		""	""	""	""	""	""
"Moulins ; à grains"		""	""	""	""	""	""
"Moulins ; à lapidaire"		""	""	"..."	"8"	"8"	""
"Moulins ; à maïs"		""	""	""	""	""	""
"Moulins ; à moudre grain"	6	"6"	""	""	""	""	""
"Moulins ; à moutarde"		""	""	""	""	""	""
"Moulins ; à poivre"		""	""	"..."	"8"	"8"	""
"Moulins ; à sucre"		""	""	""	""	""	""
"Moulins ; à tabac"	6	"6"	""	""	""	""	""
"Moulins ; à tordre fil"	6	"6"	""	""	""	""	""
"Moulins ; à bras"	6	"6"	""	""	""	""	""
"Moulins ; à filer"	6	"6"	""	""	""	""	""
"Moulons"		""	""	""	""	""	""
"Moulons ; et kibbelinck"		""	""	""	""	""	""
"Moulons ; à faire chaux"	2	"2"	""	""	""	""	""
"Mouquette"	6	"6"	""	""	""	""	""
"Moureaux"		""	""	""	""	""	""
"Moureaux de mulets"		""	""	"..."	"7"	"7"	""
"Mousse"		""	""	""	""	""	""
"Mousse ; de bois"		""	""	""	""	""	""
"Mousseline"		""	""	""	""	""	""
"Mousseline ; de Suisse et siamoise à ligne de soie"	6	"6c"	""	""	""	""	""
"Mousseline ; et toile de coton blanc"	6	"6d"	""	""	""	""	""
"Mousserons"		""	""	""	""	""	""
"Moutarde"		""	""	""	""	""	""
"Moutons"		""	""	""	""	""	""
"Moutons et brebis"	0	"0a"	""	""	""	""	""
"Mouvements ; de montres"		""	""	"…"	"8"	"8"	""
"Mouvements ; de pendules"		""	""	""	""	""	""
"Moyeux"		""	""	""	""	""	""
"Moëles"		""	""	"…"	"0"	"0a"	""
"Moëles ; de beuf"		""	""	"…"	"0"	"0a"	""
"Mules et mulets"		""	""	""	""	""	""
"Mulets"		""	""	""	""	""	""
"Musc"	5	"5"	""	""	""	""	""
"Muscade"		""	""	"..."	"0"	"0b"	""
"Muscades"		""	""	"..."	"0"	"0b"	""
"Muscades ; de perles"		""	""	""	""	""	""
"Muscat à l'eau de vie"		""	""	""	""	""	""
"Muse"		""	""	""	""	""	""
"Musique"		""	""	"..."	"8"	"8"	""
"Mât"		""	""	""	""	""	""
"Mât ; de vaisseau"		""	""	""	""	""	""
"Mât ; diver"		""	""	""	""	""	""
"Mât ; divers"	2	"2"	""	""	""	""	""
"Mât ; mâture"		""	""	""	""	""	""
"Mât ; petit"		""	""	""	""	""	""
"Mâts ; divers"		""	""	""	""	""	""
"Mâture"		""	""	""	""	""	""
"Mât ; de sapin"	2	"2"	""	""	""	""	""
"Mât ; façonné"	2	"2"	""	""	""	""	""
"Médailles ; antiques"		""	""	""	""	""	""
"Médicaments"		""	""	""	""	""	""
"Ménages"		""	""	""	""	""	""
"Métal"		""	""	""	""	""	""
"Métal ; ?"		""	""	""	""	""	""
"Métal ; de cloche"		""	""	""	""	""	""
"Métal ; moulé"	6	"6"	""	""	""	""	""
"Métal et bronze ; moulé"	6	"6"	""	""	""	""	""
"Métal ; divers"	6	"6"	""	""	""	""	""
"Métal ; frappé, ouvré et moulé"	6	"6"	"metail frappé"	""	""	""	""
"Métaux ; autres"		""	""	""	""	""	""
"Métaux ; divers"		""	""	""	""	""	""
"Métier"		""	""	""	""	""	""
"Métier, presses, cribles, bulteaux ; de moulin"	6	"6"	""	""	""	""	""
"Métiers ; à faire bas"		""	""	"..."	"6"	"6"	""
"Métier ; de drapier"	6	"6"	""	""	""	""	""
"Métier ; de tisserand"	6	"6"	""	""	""	""	""
"Métier ; à faire bas"		""	""	""	""	""	""
"Métier ; à faire tapisserie"	6	"6"	""	""	""	""	""
"Métier ; à filer"	6	"6"	""	""	""	""	""
"Métillon"	0	"0a"	""	""	""	""	""
"Métillon ; en jarbe"	0	"0a"	""	""	""	""	""
"Mèche"		""	""	""	""	""	""
"Mèche ; flambeaux, chandelles et lampes"	6	"6"	"meches et flambeaux/meches pour flambeaux"	""	""	""	""
"Mèche ; soufrée"		""	""	""	""	""	""
"Mèche ; à canon"		""	""	""	""	""	""
"Mèche ; à chandelle"		""	""	""	""	""	""
"Mèche ; à flambeaux"		""	""	""	""	""	""
"Mêche"		""	""	"..."	"6"	"6a"	""
"Mêches ; souffrées"		""	""	"..."	"6"	"6"	""
"Mêches ; à canon"		""	""	"..."	"6"	"6"	""
"Mêches ; à chandelle"		""	""	"..."	"6"	"6"	""
"Mêches ; à flambeaux"		""	""	"..."	"6"	"6"	""
"Mûriers"		""	""	""	""	""	""
"Nacelles"		""	""	""	""	""	""
"Nacettes"	7	"7"	""	""	""	""	""
"Nacre"	2	"2"	"coquilles dite nacre de perle"	""	""	""	""
"Nacre ; de perles"		""	""	""	""	""	""
"Nacre ; en coquille"		""	""	""	""	""	""
"Nanquin"		""	""	""	""	""	""
"Napes"		""	""	"…"	"6"	"6"	""
"Napes ; ouvrées"		""	""	"…"	"6"	"6"	""
"Napes ; unies"		""	""	"…"	"6"	"6"	""
"Nappes"		""	""	""	""	""	""
"Nappes ; ouvrées"		""	""	""	""	""	""
"Nappes ; unies"		""	""	""	""	""	""
"Nappes ; faites"	6	"6a"	""	""	""	""	""
"Nattes"		""	""	"..."	"6"	"6"	""
"Nattes ; communes à pacqueter"	6	"6"	""	""	""	""	""
"Nattes ; de jonc large"	6	"6"	""	""	""	""	""
"Nattes ; de jonc rondes pour les pieds"	6	"6"	""	""	""	""	""
"Nattes ; de joncs"	7	"7"	""	""	""	""	""
"Nattes ; de joncs et de paille larges"	6	"6"	"nattes de joncs larges"	""	""	""	""
"Nattes ; de joncs et paille étroites"	6	"6"	"nattes de joncs étroites"	""	""	""	""
"Nattes ; de jongs"		""	""	""	""	""	""
"Nattes ; de paille"		""	""	""	""	""	""
"Nattes ; rondes"	6	"6"	"nattes rondes et communes"	""	""	""	""
"Nattrons"		""	""	""	""	""	""
"Nature ; de baleine"		""	""	""	""	""	""
"Naveaux"	0	"0a"	""	""	""	""	""
"Navets"		""	""	""	""	""	""
"Navettes"		""	""	""	""	""	""
"Navettes ; à drapier"		""	""	""	""	""	""
"Neganepeau"		""	""	""	""	""	""
"Nelis"		""	""	""	""	""	""
"Nelis ; étoffe"		""	""	""	""	""	""
"Nepres"		""	""	"..."	"..."	"..."	""
"Neptunes de cuivre"		""	""	""	""	""	""
"Nerfs de beuf"		""	""	"..."	"6"	"6"	""
"Nerfs de bœufs"		""	""	""	""	""	""
"Nicaneas"		""	""	""	""	""	""
"Nids ; d'oiseaux"		""	""	""	""	""	""
"Nina"		""	""	""	""	""	""
"Nipes"		""	""	"..."	"8"	"8"	"Vêtement usagé ? (Nippe)"
"Nippes"		""	""	""	""	""	""
"Nippes et atours"	8	"8"	""	""	""	""	""
"Nippes ; de toute espèce"	8	"8"	""	""	""	""	""
"Noir ; d'Espagne"		""	""	"..."	"5"	"5"	""
"Noir ; d'ivoire"		""	""	""	""	""	""
"Noir ; de Chipre"		""	""	"..."	"5"	"5"	""
"Noir ; de Chypre"		""	""	""	""	""	""
"Noir ; de fumée"		""	""	""	""	""	""
"Noir ; à imprimer"		""	""	""	""	""	""
"Noir ; à noircir"		""	""	""	""	""	""
"Noir ; commun"		""	""	""	""	""	""
"Noisettes"		""	""	""	""	""	""
"Noisettes ou avelinnes"	0	"0a"	"noisettes et avelennes"	""	""	""	""
"Noix"		""	""	""	""	""	""
"Noix ; de Galle"		""	""	""	""	""	""
"Noix ; vomiques"		""	""	""	""	""	""
"Noix ; de coco"	0	"0b"	"noix de cocq"	""	""	""	""
"Noix ; grosses"		""	""	""	""	""	""
"Noix ; venimeux"		""	""	""	""	""	""
"Noix ; épillées"	0	"0a"	""	""	""	""	""
"Noronges"		""	""	""	""	""	""
"Nougat"		""	""	""	""	""	""
"Nousouque"		""	""	""	""	""	""
"Noyaux"		""	""	"..."	"2"	"2"	""
"Noyaux ; de pêche"		""	""	"..."	"2"	"2"	""
"Noyer et cerisier"	2	"2"	""	""	""	""	""
"Nœuds d'épées et cordons de montres"	8	"8"	""	""	""	""	""
"Objets ; manufacturés ; réunis"		""	""	"…"	"8"	"8"	""
"Objets divers de peu de valeur"		""	""	""	""	""	""
"Ocre"		""	""	"..."	"5"	"5"	""
"Ocre ; jaune"		""	""	""	""	""	""
"Ocre ; rouge"	5	"5"	""	""	""	""	""
"Ocre ; brun"	5	"5"	""	""	""	""	""
"Ocre ; de toute espèce"	5	"5"	"ocre de toute sorte de couleur"	""	""	""	""
"Ocre ; noir"	5	"5"	""	""	""	""	""
"Odeure"		""	""	""	""	""	""
"Oies"		""	""	""	""	""	""
"Oignons"		""	""	""	""	""	""
"Oignons ; communs"		""	""	""	""	""	""
"Oignons ; de fleurs"		""	""	"..."	"2"	"2"	""
"Oiseaux ; de proie"		""	""	""	""	""	""
"Oiseaux ; petits"		""	""	""	""	""	""
"Oiseaux, petits, grives, etc."	0	"0a"	""	""	""	""	""
"Olives"	0	"0a"	""	""	""	""	""
"Ongles ; de beuf"		""	""	"..."	"2"	"2"	""
"Ongles ; de bœuf"		""	""	""	""	""	""
"Ongles ; de carres"		""	""	""	""	""	""
"Onglons ; de bœuf"		""	""	""	""	""	""
"Opium"		""	""	""	""	""	""
"Opoponax"		""	""	""	""	""	""
"Optiques"		""	""	""	""	""	""
"Or ; batty"		""	""	""	""	""	""
"Or ; en baissette"		""	""	""	""	""	""
"Or ; en coquilles"		""	""	""	""	""	""
"Or ; faux"		""	""	""	""	""	""
"Or ; fin , en feuille"		""	""	"..."	"6"	"6"	""
"Or ; fin ; en lingot"		""	""	"..."	"9"	"9"	""
"Or ; fin ; en monnaie"		""	""	"..."	"9"	"9"	""
"Or ; fin ; en pailette"		""	""	"..."	"6"	"6"	""
"Or ; fin ; en paillette"		""	""	""	""	""	""
"Or en lingots"		""	""	"..."	"9"	"9"	""
"Or et argent ; balles"		""	""	"..."	"6"	"6"	""
"Or et argent ; battu"		""	""	""	""	""	""
"Or et argent ; en lingots"		""	""	"..."	"6"	"6"	""
"Or et argent ; faux"		""	""	""	""	""	""
"Or et argent ; faux battu en livrets de 24 feuilles"	6	"6"	""	""	""	""	""
"Or et argent ; faux en fil, cantilles, etc."	6	"6"	""	""	""	""	""
"Or et argent ; fin"		""	""	"..."	"6"	"6"	""
"Or et argent ; fin battu en livrets de 24 feuilles"	8	"8"	""	""	""	""	""
"Or et argent ; fin en livrets"		""	""	""	""	""	""
"Or et argent ; fin, en fil, cantilles, paillettes"	6	"6"	""	""	""	""	""
"Or et argent ; trail"		""	""	"..."	"6"	"6"	""
"Or et argent ; en barres et lingots"		""	""	""	""	""	""
"Or et argent ; en fil"	8	"8"	""	""	""	""	""
"Or et argent ; paillettes"		""	""	""	""	""	""
"Or fin en feuilles"		""	""	"..."	"6"	"6"	""
"Oranges"		""	""	""	""	""	""
"Oranges ; aigres"		""	""	""	""	""	""
"Oranges ; douces"		""	""	""	""	""	""
"Oranges et citrons"	0	"0a"	""	""	""	""	""
"Orcanettes"		""	""	""	""	""	""
"Orego"	5	"5"	""	""	""	""	""
"Oreillons"		""	""	""	""	""	""
"Oreillons ; à faire colle"		""	""	""	""	""	""
"Orfèvrerie"		""	""	"…"	"6"	"6"	""
"Orfèvrerie ; diverse"		""	""	"…"	"6"	"6"	""
"Orfèvrerie ; en argent ; diverse"		""	""	""	""	""	""
"Orfèvrerie ; en argent ; vaiselle d'argent"		""	""	"…"	"6"	"6"	""
"Orfèvrerie ; en argent ; vaisselle d'argent"		""	""	""	""	""	""
"Orfèvrerie ; en or"		""	""	"…"	"6"	"6"	""
"Orfèvrerie ; en or et argent"		""	""	""	""	""	""
"Orfèvrerie ; vaisselle d'agent"		""	""	""	""	""	""
"Organdis"		""	""	"cotton"	"6"	"6d"	"Sorte de mousseline ou toile de coton, syn.: Betille (Savary)"
"Orge"		""	""	""	""	""	""
"Orge ; ?"		""	""	"…"	"0"	"0a"	""
"Orge ; commun en jarbes"	0	"0a"	""	""	""	""	""
"Orge ; en graines"		""	""	""	""	""	""
"Orge ; germée"		""	""	""	""	""	""
"Orge ; mondé et perlé"	0	"0a"	""	""	""	""	""
"Orge ; mondée"		""	""	"..."	"0"	"0a"	""
"Orge ; ou soucrion"	0	"0a"	""	""	""	""	""
"Orge ; ou soucrion en jarbes"		""	""	""	""	""	""
"Orge ; perlée"		""	""	""	""	""	""
"Orge ; soucrion"	0	"0a"	"orge commun soucrion"	""	""	""	""
"Orgue"	8	"8"	"orgues pour eglise"	""	""	""	""
"Orgue ; clavecins et épinettes"	8	"8"	""	""	""	""	""
"Orgue ; de savoyard"	8	"8"	""	""	""	""	""
"Origan"		""	""	""	""	""	""
"Origanum"		""	""	"..."	"0"	"0a"	"Plantes/Origan"
"Ornements ; d'Eglise"		""	""	""	""	""	""
"Ornements ; de table"		""	""	""	""	""	""
"Orobes"		""	""	""	""	""	""
"Orpiments"	5	"5"	""	""	""	""	""
"Orpin"		""	""	""	""	""	""
"Orseille"		""	""	"..."	"2"	"2"	"Substance colorante extraite de certains lichans"
"Ortites ; de menuisier"		""	""	""	""	""	""
"Or ; massif"	8	"8"	""	""	""	""	""
"Or ; paillettes"		""	""	""	""	""	""
"Or ; travaillé"	8	"8"	""	""	""	""	""
"Os ; de bœuf"		""	""	""	""	""	""
"Os ; de cœur ; de bœuf"		""	""	""	""	""	""
"Os ; de sèche"		""	""	""	""	""	""
"Os ; de sêche"		""	""	"..."	"2"	"2"	""
"Osier"		""	""	""	""	""	""
"Osier ; d'en dessous de 7 paumes"		""	""	""	""	""	""
"Osier ; de 10 à 11 paumes"		""	""	""	""	""	""
"Osier ; de 12 à 14 paumes"	2	"2"	""	""	""	""	""
"Osier ; de 7 à 9 paumes"	2	"2"	""	""	""	""	""
"Osier ; en dessous de 10 paumes"	2	"2"	""	""	""	""	""
"Osier ; ouvrés"	2	"2"	"ouvrage d'ozier"	""	""	""	""
"Osserie ; de Dieppe"		""	""	""	""	""	""
"Osserie ; de dieppe"		""	""	"..."	"2"	"2"	""
"Ouate"		""	""	""	""	""	""
"Ouate ; d'etouppes"	6	"6a"	""	""	""	""	""
"Ouate ; de cotton"	6	"6d"	""	""	""	""	""
"Ouate ; de laine"	6	"6b"	""	""	""	""	""
"Ouate ; de soye"	6	"6c"	""	""	""	""	""
"Outils"		""	""	""	""	""	""
"Outils ; d'horloger"		""	""	""	""	""	""
"Outils ; d'ouvriers"		""	""	""	""	""	""
"Outils ; de ferblanctier"	6	"6"	""	""	""	""	""
"Outils ; de laboureurs"	6	"6"	""	""	""	""	""
"Outils ; de marchands de vin"	6	"6"	""	""	""	""	""
"Outils ; de miroitier"	6	"6"	""	""	""	""	""
"Outils ; de moulin à papier"	6	"6"	""	""	""	""	""
"Outils ; de orfèvres"	6	"6"	""	""	""	""	""
"Outils ; de tisserands"	6	"6"	""	""	""	""	""
"Outils ; divers"		""	""	""	""	""	""
"Outils ; menuisier"		""	""	""	""	""	""
"Outils ; à batre l'or"		""	""	"..."	"6"	"6"	""
"Outils ; à battre l'or"		""	""	""	""	""	""
"Outils ; à soutirer le vin"		""	""	""	""	""	""
"Outils de charpentier"		""	""	"..."	"6"	"6"	""
"Outils ; d'imprimerie"	6	"6"	""	""	""	""	""
"Outils ; de charpentier"		""	""	""	""	""	""
"Outils ; à faire cartes et moules"	6	"6"	""	""	""	""	""
"Ouvrage ; de bois"		""	""	""	""	""	""
"Ouvrage ; de buis"		""	""	"..."	"6"	"6"	""
"Ouvrage ; de fleuret"		""	""	""	""	""	""
"Ouvrage ; de laine"		""	""	""	""	""	""
"Ouvrage de bois ; Gros"	6	"6"	""	""	""	""	""
"Ouvrages ; D'airain"		""	""	"..."	"6"	"6"	""
"Ouvrages ; D'albatre"		""	""	"..."	"6"	"6"	""
"Ouvrages ; D'ozier"		""	""	"..."	"6"	"6"	""
"Ouvrages ; De bois ; doré"		""	""	""	""	""	""
"Ouvrages ; De bois simple"		""	""	""	""	""	""
"Ouvrages ; De bois simple ; Aviron"		""	""	""	""	""	""
"Ouvrages ; De bois simple ; Divers"		""	""	""	""	""	""
"Ouvrages ; De bois simple ; En bateaux"		""	""	""	""	""	""
"Ouvrages ; De bois simple ; En grilles de sapin"		""	""	""	""	""	""
"Ouvrages ; De bois simple ; En horloge"		""	""	""	""	""	""
"Ouvrages ; De boissellerie"		""	""	""	""	""	""
"Ouvrages ; De bronze"		""	""	""	""	""	""
"Ouvrages ; De carton"		""	""	""	""	""	""
"Ouvrages ; De charon"		""	""	"..."	"6"	"6"	""
"Ouvrages ; De charpentier"		""	""	""	""	""	""
"Ouvrages ; De cire"		""	""	""	""	""	""
"Ouvrages ; De codonnier en souliers"		""	""	"..."	"6"	"6"	""
"Ouvrages ; De cordonnier ; en souliers"		""	""	""	""	""	""
"Ouvrages ; De cristal"		""	""	""	""	""	""
"Ouvrages ; De cuir"		""	""	""	""	""	""
"Ouvrages ; De cuir ; doré et argenté"		""	""	"..."	"6"	"6"	""
"Ouvrages ; De cuir ; en cordonnerie et sellerie"		""	""	""	""	""	""
"Ouvrages ; De cuivre ; Divers"		""	""	""	""	""	""
"Ouvrages ; De cuivre ; Doré et argenté"		""	""	""	""	""	""
"Ouvrages ; De cuivre ; Simples"		""	""	""	""	""	""
"Ouvrages ; De fer ; ancres"		""	""	"..."	"6"	"6"	""
"Ouvrages ; De fer ; blanc"		""	""	"..."	"6"	"6"	""
"Ouvrages ; De fer ; cricks"		""	""	"..."	"6"	"6"	""
"Ouvrages ; De fer ; divers"		""	""	"..."	"6"	"6"	""
"Ouvrages ; De fer ; en enclames"		""	""	"..."	"6"	"6"	""
"Ouvrages ; De fournisseur"		""	""	""	""	""	""
"Ouvrages ; De joncs"		""	""	""	""	""	""
"Ouvrages ; De laiton"		""	""	""	""	""	""
"Ouvrages ; De marqueterie"		""	""	""	""	""	""
"Ouvrages ; De menuiserie"		""	""	""	""	""	""
"Ouvrages ; De mi soie"		""	""	""	""	""	""
"Ouvrages ; De modes ; Divers"		""	""	""	""	""	""
"Ouvrages ; De modes ; En fleurs artificielles"		""	""	""	""	""	""
"Ouvrages ; De mécanique"		""	""	""	""	""	""
"Ouvrages ; De métal"		""	""	""	""	""	""
"Ouvrages ; De passementerie"		""	""	""	""	""	""
"Ouvrages ; De passmenterie"		""	""	"..."	"6"	"6"	""
"Ouvrages ; De pattes"		""	""	""	""	""	""
"Ouvrages ; De peaux"		""	""	""	""	""	""
"Ouvrages ; De pierres"		""	""	""	""	""	""
"Ouvrages ; De platre"		""	""	"..."	"6"	"6"	""
"Ouvrages ; De plomb"		""	""	"..."	"6"	"6"	""
"Ouvrages ; De plumes"		""	""	""	""	""	""
"Ouvrages ; De plâtre"		""	""	""	""	""	""
"Ouvrages ; De porcelaine"		""	""	""	""	""	""
"Ouvrages ; De sculpture"		""	""	""	""	""	""
"Ouvrages ; De sellerie"		""	""	""	""	""	""
"Ouvrages ; De serrurerie"		""	""	""	""	""	""
"Ouvrages ; De serrurerie ; en ressorts de voitures"		""	""	"..."	"6"	"6"	""
"Ouvrages ; De serrurerie ; fer"		""	""	""	""	""	""
"Ouvrages ; De soie"		""	""	"..."	"6"	"6"	""
"Ouvrages ; De soie et dorure"		""	""	""	""	""	""
"Ouvrages ; De spa"		""	""	"..."	"6"	"6"	""
"Ouvrages ; De tableterrie"		""	""	""	""	""	""
"Ouvrages ; De taillaudier"		""	""	""	""	""	""
"Ouvrages ; De terre ; cuite"		""	""	""	""	""	""
"Ouvrages ; De terre cuite ; Briques"		""	""	""	""	""	""
"Ouvrages ; De terre cuite ; Carreaux"		""	""	""	""	""	""
"Ouvrages ; De terre cuite ; Chuiles"		""	""	""	""	""	""
"Ouvrages ; De terre cuite ; Creusets"		""	""	""	""	""	""
"Ouvrages ; De terre cuite ; Divers"		""	""	""	""	""	""
"Ouvrages ; De terre cuite ; Moules"		""	""	""	""	""	""
"Ouvrages ; De terre cuite ; Pipes à fumer"		""	""	""	""	""	""
"Ouvrages ; De tonnellerie"		""	""	""	""	""	""
"Ouvrages ; De tourneur"		""	""	""	""	""	""
"Ouvrages ; De vanier"		""	""	"..."	"6"	"6"	""
"Ouvrages ; De vannier"		""	""	""	""	""	""
"Ouvrages ; De verre"		""	""	"..."	"6"	"6"	""
"Ouvrages ; De verre ; en bossades"		""	""	""	""	""	""
"Ouvrages ; De verre ; en rassades"		""	""	""	""	""	""
"Ouvrages ; De verts"		""	""	""	""	""	""
"Ouvrages ; Divers"		""	""	"..."	"6"	"6"	""
"Ouvrages ; Divers ; en bois et futailles vides"		""	""	""	""	""	""
"Ouvrages ; En dorure ; Fausse"		""	""	""	""	""	""
"Ouvrages ; En dorure ; Fine"		""	""	"..."	"6"	"6"	""
"Ouvrages ; En esparballe"		""	""	""	""	""	""
"Ouvrages ; En ivoire et ecailles"		""	""	"..."	"6"	"6"	""
"Ouvrages ; En nacre de perle"		""	""	""	""	""	""
"Ouvrages ; Passementerie"		""	""	""	""	""	""
"Ouvrages ; d'airain"	6	"6"	""	""	""	""	""
"Ouvrages ; d'albatre"	6	"6"	""	""	""	""	""
"Ouvrages ; d'albâtre"		""	""	""	""	""	""
"Ouvrages ; d'osier"		""	""	""	""	""	""
"Ouvrages ; de bois sculpté et doré"	6	"6"	""	""	""	""	""
"Ouvrages ; de bois vernis de Spa"	6	"6"	"ouvrages de Spa et vernis"	""	""	""	""
"Ouvrages ; de charpentier"	6	"6"	"bois préparée pour charpente"	""	""	""	""
"Ouvrages ; de charpentiers"	6	"6"	"bois préparée pour charpente"	""	""	""	""
"Ouvrages ; de charron"		""	""	""	""	""	""
"Ouvrages ; de coudriers"		""	""	""	""	""	""
"Ouvrages ; de drap"	6	"6b"	""	""	""	""	""
"Ouvrages ; de fayence"	6	"6"	""	""	""	""	""
"Ouvrages ; de fer ; ancres"		""	""	""	""	""	""
"Ouvrages ; de fer ; blanc"		""	""	""	""	""	""
"Ouvrages ; de fer ; cricks"		""	""	""	""	""	""
"Ouvrages ; de fer ; divers"		""	""	""	""	""	""
"Ouvrages ; de fer ; enclumes"		""	""	""	""	""	""
"Ouvrages ; de mandriers"	8	"8"	""	""	""	""	""
"Ouvrages ; de menuiserie"	6	"6"	""	""	""	""	""
"Ouvrages ; de menuiserie simple"	6	"6"	""	""	""	""	""
"Ouvrages ; de pelleteries"	6	"6"	""	""	""	""	""
"Ouvrages ; de pierre"	6	"6"	""	""	""	""	""
"Ouvrages ; de plâtre en figures"	6	"6"	"ouvrage de platre"	""	""	""	""
"Ouvrages ; de porcelaine"	6	"6"	"ouvrages de porcelaine fine"	""	""	""	""
"Ouvrages ; de porcelaine et faïence"	6	"6"	""	""	""	""	""
"Ouvrages ; de sculpteur"	6	"6"	""	""	""	""	""
"Ouvrages ; de selliers de toutes sortes"	7	"7"	"ouvrages de sellier, harnois, brides et autres ouvrages semblables"	""	""	""	""
"Ouvrages ; de terre en postures"	6	"6"	""	""	""	""	""
"Ouvrages ; de terre et de pierre en potteries"	6	"6"	"service de cuisine"	""	""	""	""
"Ouvrages ; de tonneliers"	6	"6"	""	""	""	""	""
"Ouvrages ; de tourneur"	6	"6"	""	""	""	""	""
"Ouvrages ; de verre pour desserts"	6	"6"	""	""	""	""	""
"Ouvrages ; tricotés pour vestes, camisolles et culottes"	8	"8"	""	""	""	""	""
"Ouvrages de spa"		""	""	"..."	"6"	"6"	""
"Ouvrages ; de bois"	2	"2"	""	""	""	""	""
"Ouvrage ; de bois ; menu"	6	"6"	""	""	""	""	""
"Ozier"		""	""	"..."	"2"	"2"	""
"Oüate"		""	""	"..."	"2"	"2"	""
"Padoue"		""	""	""	""	""	""
"Padoue ; de fil"		""	""	""	""	""	""
"Padoue ; de fleurs et soie"		""	""	"..."	"6"	"6c"	""
"Padoux ; de fil"		""	""	"…"	"6"	"6"	""
"Pagne"		""	""	""	""	""	""
"Paillasses"		""	""	""	""	""	""
"Paille"		""	""	""	""	""	""
"Paille ; divere"		""	""	"..."	"2"	"2"	""
"Paille ; diverse"		""	""	""	""	""	""
"Paillettes ; d'or"		""	""	"..."	"2"	"2"	""
"Paillettes ; d'or et d'argent"		""	""	"..."	"2"	"2"	""
"Paillettes d'"		""	""	""	""	""	""
"Paille ; dite channe à couvrir toits"	2	"2"	""	""	""	""	""
"Paille ; hachée"	2	"2"	"paille hachée d'avoine et de chanvre pour alumettes"	""	""	""	""
"Pain"	0	"0a"	"pain de farine"	""	""	""	""
"Pain ; Graine de lime et de morelle"		""	""	""	""	""	""
"Pain ; d'épice"		""	""	""	""	""	""
"Pain ; de graines de lin et de navelle"		""	""	""	""	""	""
"Pain ; de navette"		""	""	""	""	""	""
"Pain ; de navette en poudre"	0	"0a"	"pain de navette en poudre ou brisé"	""	""	""	""
"Pain ; divers"		""	""	""	""	""	""
"Pain ; à cacheter"		""	""	""	""	""	""
"Pains ; Graine de lime et de morelle"		""	""	"..."	"2"	"2"	""
"Pains ; d'épice"		""	""	"..."	"0"	"0a"	""
"Pains ; de graines de lim et de navelle"		""	""	"..."	"2"	"2"	""
"Pains ; de navette"		""	""	""	""	""	""
"Pains ; divers"		""	""	"..."	"0"	"0a"	""
"Pains ; à cachetter"		""	""	"..."	"2"	"2"	""
"Palacques"		""	""	"..."	"..."	"..."	"Peut-être Pataque (monnaie portuguaise)"
"Palangres"		""	""	""	""	""	""
"Palatine"	8	"8"	""	""	""	""	""
"Palatine ; de soie"		""	""	"..."	"6"	"6c"	""
"Palins"		""	""	""	""	""	""
"Palmes"		""	""	""	""	""	""
"Palmes ; en feuilles"		""	""	""	""	""	""
"Palun"		""	""	"..."	"..."	"..."	""
"Paniers"		""	""	""	""	""	""
"Paniers ; d'habit"		""	""	""	""	""	""
"Paniers ; d'osier"		""	""	""	""	""	""
"Paniers ; d'ozier"		""	""	"..."	"6"	"6"	""
"Paniers ; de caudré"		""	""	"..."	"6"	"6"	""
"Paniers ; de coudre"		""	""	""	""	""	""
"Paniers ; de joncs"		""	""	""	""	""	""
"Paniers ; de jongs"		""	""	"..."	"6"	"6"	""
"Panne"	6	"6b"	""	""	""	""	""
"Panne ; ordinaire"		""	""	""	""	""	""
"Panne ; écarlatte"		""	""	"silk fabrics"	"6"	"6c"	""
"Panne, pluche et trippe"		""	""	""	""	""	""
"Panneaux"		""	""	""	""	""	""
"Pannine"		""	""	""	""	""	""
"Pannine ; en soie"		""	""	""	""	""	""
"Pantalons"		""	""	""	""	""	""
"Paons"	9	"9"	""	""	""	""	""
"Papeline"		""	""	""	""	""	""
"Papeteries ; diverses"		""	""	""	""	""	""
"Papetteries ; diverses"		""	""	"..."	"6"	"6"	""
"Papier"		""	""	""	""	""	""
"Papier ; ?"		""	""	""	""	""	""
"Papier ; argenté et doré"	6	"6"	""	""	""	""	""
"Papier ; batard"		""	""	"..."	"6"	"6"	""
"Papier ; batard ; commun"		""	""	"..."	"6"	"6"	""
"Papier ; batard ; comun"		""	""	"..."	"6"	"6"	""
