marchandises_normalisees	marchandises_simplifies	sitc_rev1	sitc_rev2	remarques_marchandises	sitc1digit	sitc18thc	alternativenames	marchandises_pour_graphe_rg	marchandises	marchandises_normalisees_inter	product_prix	dutchtranslation	englishproduct	unit	source_RG_1774	source_RGbase	source_France	_merge
"Toile ; Sangalette"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; Sangalette"	"Toile ; Sangalette"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; Serpillière"	"Toile"	"6"	"6a"	""		""	""	"linens"	"Toile ; serpillieres"	"Toile ; Serpillière"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; Siamoise"	"Toile"	"6"	"6d"	""		""	""	"linens"	"Toile ; Siamoise"	"Toile ; Siamoise"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; Suisse"	"Toile"	"6"	"6d"	""		""	""	""	"Toile ; suisse"	"Toile ; Suisse"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; abat"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; ab???"	"Toile ; abat"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; ardoisée et rayonnée"	"Toile"	"6"	"6a"	""	6	"6a"	""	""	"toile ardoisée et rayonnée"	"Toile ; ardoisée et rayonnée"	"linen cloth"	"lijnwaad (lei-blauw en geruit)"	"linen (slate blue and chequered)"	"pieces"	1	1	0	"matched (3)"
"Toile ; assorties"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; assortie"	"Toile ; assorties"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; au lait"	"Toile"	"6"	"6a"	""		""	""	"linens"	"Toile ; au lait"	"Toile ; au lait"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; au lait ; lin"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; au lait lin"	"Toile ; au lait ; lin"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; baptiste"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; Baptiste"	"Toile ; baptiste"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; barriere"	"Toile"	"…"	"…"	""		""	""	""	"Toile ; barriere"	"Toile ; barriere"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; basin"	"Toile"	"6"	"6d"	""		""	""	""	"Toiles ; bazin"	"Toile ; bazin"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; batiste"	"Toile"	"6"	"6a"	""		""	""	"linens"	"Toile ; battiste"	"Toile ; batiste"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; beaudille"	"Toile"	"…"	"…"	""		""	""	""	"Toile ; bueadille"	"Toile ; bueadille"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; beurriere"	"Toile"	"…"	"…"	""		""	""	""	"Toile ; beuricre"	"Toile ; beurriere"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; blancard"	"Toile"	"…"	"…"	""		""	""	""	"Toile ; blantard"	"Toile ; blancard"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; blanche"	"Toile"	"6"	"6a"	""	6	"6a"	""	""	"Toile ; blanche"	"Toile ; blanche"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; blanche et rouge"	"Toile"	"6"	"6a"	""		""	""	"linens"	"Toile ; blanche et rouge"	"Toile ; blanche et rouge"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; blanche et teinte"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; blanche et teinte"	"Toile ; blanche et teinte"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; blanche ; de la Compagnie"	"Toile"	"6"	"6d"	""		""	""	""	"Toile ; blanche ; de la Compagnie"	"Toile ; blanche ; de la Compagnie"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; blanche ; ordinaire"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; blanche ; ordinaire"	"Toile ; blanche ; ordinaire"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; bleue"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; Bleue"	"Toile ; bleue"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; boucassine"	"Toile"	"6"	"6a"	""		""	""	"linens"	"Toile ; bouassine"	"Toile ; boucassine"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; bougran"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; bougran"	"Toile ; bougran"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; brochée"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; brochée"	"Toile ; brochée"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; caisse"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; caissie"	"Toile ; caisse"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; caladaris"	"Toile"	"6"	"6d"	""		""	""	""	"Toile ; caladaris"	"Toile ; caladaris"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; canevas"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; caneva"	"Toile ; canevas"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; ce chasse"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; choles"	"Toile ; ce chasse"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; cirée"	"Toile"	"6"	"6a"	""		""	""	"linens"	"Toile ; coffre"	"Toile ; cirée"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; cirée et lustrée"	"Toile"	"6"	"6a"	""	6	"6a"	""	""	"toile cirée et lustrée"	"Toile ; cirée et lustrée"	""	"wasdoek en geglansd doek"	"oilcloth and glaced cloth"	"ell"	1	1	0	"matched (3)"
"Toile ; cirée et peinte"	"Toile"	"6"	"6a"	""	6	"6a"	""	""	"toille cirée et peinte"	"Toile ; cirée et peinte"	""	"geverfde wasdoek"	"painted oilcloth"	"cases"	1	0	0	"matched (3)"
"Toile ; commune"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; commune"	"Toile ; commune"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; cordat"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; cordat"	"Toile ; cordat"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; coton ; blanche"	"Toile"	"6"	"6d"	""		""	""	""	"Toile ; coton ; blanche"	"Toile ; coton ; blanche"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; cotray"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; cottray"	"Toile ; cotray"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; cottray"	"Toile"	"6"	"6a"	""		""	""	""	"Toile; cottray"	"Toile ; cottray"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; coutil"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; Coutil"	"Toile ; coutil"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; cretonne"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; cretonne"	"Toile ; cretonne"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; crise"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; crise"	"Toile ; crise"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; crue"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; Crue"	"Toile ; crue"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; crée"	"Toile"	"6"	"6"	""		""	""	""	"Toile; crée"	"Toile ; crée"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; crüe"	"Toile"	"6"	"6a"	""		""	""	""	"Toile; crüe"	"Toile ; crüe"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; d'Agen"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; d'agen"	"Toile ; d'Agen"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; d'Allemagne"	"Toile"	"6"	"6"	""		""	""	""	"Toile d'Allemagne"	"Toile ; d'Allemagne"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; d'Aman"	"Toile"	"6"	"6d"	""		""	""	""	"Toile ; d'aman"	"Toile ; d'Aman"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; d'Amat"	"Toile"	"6"	"6d"	""		""	""	""	"Toile; d'Amat"	"Toile ; d'Amat"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; d'Angers"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; d'angers"	"Toile ; d'Angers"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; d'Antal"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; d'autal"	"Toile ; d'Antal"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; d'Antioche"	"Toile"	"6"	"6d"	""		""	""	""	"Toile ; d'autioche"	"Toile ; d'Antioche"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; d'amant"	"Toile"	"6"	"6d"	""		""	""	""	"Toile; d'amant"	"Toile ; d'amant"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; d'antal"	"Toile"	"6"	"6"	""		""	""	""	"Toile; d'antal"	"Toile ; d'antal"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; d'antioche"	"Toile"	"6"	"6d"	""		""	""	""	"Toile; d'antioche"	"Toile ; d'antioche"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; d'azar"	"Toile"	"6"	"6"	""		""	""	""	"Toile; d'azar"	"Toile ; d'azar"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; d'ecripe"	"Toile"	"6"	"6a"	""		""	""	"linens"	"Toile ; d'ecripe"	"Toile ; d'ecripe"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; d'emballage"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; d'emballage"	"Toile ; d'emballage"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; d'étoupe"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; d'étoupe"	"Toile ; d'étoupe"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; d'étoupe ; de chanvre"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; d'etoupe ; de chanvre"	"Toile ; d'étoupe ; de chanvre"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; d'étoupe ; de lin"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; d'Etoupe ; de lin"	"Toile ; d'étoupe ; de lin"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; d'étoupes et de chanvre"	"Toile"	"6"	"6"	""	6	"6"	""	""	"toile d'etouppes et de chanvre"	"Toile ; d'etouppes et de chanvre"	""	"weefsels van hennep (etouppe)"	"hemp cloth (etouppe)"	"pieces"	1	0	0	"matched (3)"
"Toile ; damassée"	"Toile"	"6"	"6a"	""	6	"6a"	""	""	"Toile; damassée"	"Toile ; damassée"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de 3 aunes pour nappes"	"Toile"	"6"	"6"	""		""	""	""	"toile de 3 aunes pour nappes"	"Toile ; de 3 aunes pour nappes"	""	""	""	""	0	0	0	"matched (3)"
"Toile ; de Barbesieux"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; de Barbesieux"	"Toile ; de Barbesieux"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Barrois"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; de Barrois"	"Toile ; de Barrois"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne"	"Toile"	"6"	"6a"	""		""	""	"linens"	"Toile ; de Bretagne"	"Toile ; de Bretagne"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; bas brin"	"Toile"	"6"	"6a"	""		""	""	"linens"	"Toile ; de Bretagne ; bas brin"	"Toile ; de Bretagne ; bas brin"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; blanche"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; Ident ; blanche"	"Toile ; de Bretagne ; blanche"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; cirée"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; cirée"	"Toile ; de Bretagne ; cirée"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; crue"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; crue"	"Toile ; de Bretagne ; crue"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; crée large"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; crée-large"	"Toile ; de Bretagne ; crée large"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; d'Olonne"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; d'Olonne"	"Toile ; de Bretagne ; d'Olonne"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; d'anne"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; d'anne"	"Toile ; de Bretagne ; d'anne"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; d'aune"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; d'aune"	"Toile ; de Bretagne ; d'aune"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Boutdave"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de Boutdave"	"Toile ; de Bretagne ; de Boutdave"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Boutivy"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de Boutivy"	"Toile ; de Bretagne ; de Boutivy"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Combourg"	"Toile"	"6"	"6a"	""		""	""	"linens"	"Toile ; de bretagne ; de cambourg"	"Toile ; de Bretagne ; de Combourg"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Dinant"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; De Dinant"	"Toile ; de Bretagne ; de Dinant"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Fils"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de fils"	"Toile ; de Bretagne ; de Fils"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Fougere"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de Fougere"	"Toile ; de Bretagne ; de Fougere"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Fougère"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne de Fougere"	"Toile ; de Bretagne ; de Fougère"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Landerneau"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de langerneau"	"Toile ; de Bretagne ; de Landerneau"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Langernau"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de Languenaud"	"Toile ; de Bretagne ; de Langernau"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Languenan"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; Ident ; de Languenan"	"Toile ; de Bretagne ; de Languenan"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Leon"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de bretagne ; de leon"	"Toile ; de Bretagne ; de Leon"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Lombourg"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de Lombourg"	"Toile ; de Bretagne ; de Lombourg"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Lucarnon"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de Lucarnan"	"Toile ; de Bretagne ; de Lucarnon"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Mayenne"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de Mayenne"	"Toile ; de Bretagne ; de Mayenne"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Montagne"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de Montagne"	"Toile ; de Bretagne ; de Montagne"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Morlagne"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; Ident ; de Morlagne"	"Toile ; de Bretagne ; de Morlagne"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Morlaix"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de mortaix"	"Toile ; de Bretagne ; de Morlaix"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Mortagne"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de Mortagne is"	"Toile ; de Bretagne ; de Mortagne"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Pontiny"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de Pontiny"	"Toile ; de Bretagne ; de Pontiny"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Pontivy"	"Toile"	"6"	"6a"	""		""	""	"linens"	"Toile ; de Bretagne ; de Pontivy"	"Toile ; de Bretagne ; de Pontivy"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Pouldavi"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; Pouldavi"	"Toile ; de Bretagne ; de Pouldavi"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Pouldavy"	"Toile"	"6"	"6a"	""		""	""	"linens"	"Toile ; de Bretagne ; de Pouldary"	"Toile ; de Bretagne ; de Pouldavy"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Quintin"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de Quintin"	"Toile ; de Bretagne ; de Quintin"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de S Mais"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de S Mais"	"Toile ; de Bretagne ; de S Mais"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Savigny"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de Savigny"	"Toile ; de Bretagne ; de Savigny"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de St Georges"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de St Georges"	"Toile ; de Bretagne ; de St Georges"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de St. Georges"	"Toile"	"6"	"6a"	""		""	""	"linens"	"Toile ; de Bretagne ; de St. Georges"	"Toile ; de Bretagne ; de St. Georges"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de Vimoutiers"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de Vimouliers"	"Toile ; de Bretagne ; de Vimoutiers"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de balle"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de balle"	"Toile ; de Bretagne ; de balle"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de bas brin"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; De bambrin"	"Toile ; de Bretagne ; de bas brin"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de brin"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de bretagne ; de brin"	"Toile ; de Bretagne ; de brin"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de chanvre"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de chanvre"	"Toile ; de Bretagne ; de chanvre"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de couleur"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de couleur"	"Toile ; de Bretagne ; de couleur"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de fougère"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; Ident ; de fougere"	"Toile ; de Bretagne ; de fougere"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de halle"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de halle"	"Toile ; de Bretagne ; de halle"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de haut brin"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de haut-brin"	"Toile ; de Bretagne ; de haut brin"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de hutte"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de hutte"	"Toile ; de Bretagne ; de hutte"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de mantoncour"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de mantoncour"	"Toile ; de Bretagne ; de mantoncour"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de ménage"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de ménage"	"Toile ; de Bretagne ; de ménage"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de rondelette"	"Toile"	"6"	"6a"	""		""	""	"linens"	"Toile ; de bretagne ; rondelette"	"Toile ; de Bretagne ; de rondelette"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de rosconne"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de rosconne"	"Toile ; de Bretagne ; de rosconne"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; de rousse"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; de rousse"	"Toile ; de Bretagne ; de rousse"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; diverse"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; diverse"	"Toile ; de Bretagne ; diverse"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; diverses"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; Ident ; diverses"	"Toile ; de Bretagne ; diverses"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; entre large"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; entre large"	"Toile ; de Bretagne ; entre large"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; gracienne"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; Gracienne"	"Toile ; de Bretagne ; gracienne"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; gris"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; gris"	"Toile ; de Bretagne ; gris"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; grise"	"Toile"	"6"	"6a"	""		""	""	"linens"	"Toile ; de Bretagne ; grise"	"Toile ; de Bretagne ; grise"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; gros brin"	"Toile"	"6"	"6a"	""		""	""	"linens"	"Toile ; de Bretagne ; gros brin"	"Toile ; de Bretagne ; gros brin"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; large"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; Ident ; large"	"Toile ; de Bretagne ; large"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; ouvrée"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; ouvrée"	"Toile ; de Bretagne ; ouvrée"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; peinte"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; peinte"	"Toile ; de Bretagne ; peinte"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; raxonne"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; Ident ; raxonne"	"Toile ; de Bretagne ; raxonne"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; rayée"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; rayée"	"Toile ; de Bretagne ; rayée"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; reforme"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; reforme"	"Toile ; de Bretagne ; reforme"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; rouge et bleue"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; rouge et bleüe"	"Toile ; de Bretagne ; rouge et bleue"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; rousse"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; rousse"	"Toile ; de Bretagne ; rousse"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; serpillère"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; serpillere"	"Toile ; de Bretagne ; serpillère"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; vitrée"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Caladric"	"Toile ; de Bretagne ; vitrée"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; à carreaux"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de bretagne ; à carreaux"	"Toile ; de Bretagne ; à carreaux"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; à voile"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de bretagne ; à voile"	"Toile ; de Bretagne ; à voile"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bretagne ; étroite"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Bretagne ; étroite"	"Toile ; de Bretagne ; étroite"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Bruges"	"Toile"	"6"	"6a"	""	6	"6a"	""	""	"toille de Bruges"	"Toile ; de Bruges"	""	"lijnwaad van brugge / el"	"linen cloth from Bruges per ell"	"guilders"	1	0	0	"matched (3)"
"Toile ; de Cambrais"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Cambray"	"Toile ; de Cambrais"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Cholet"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de Cholen"	"Toile ; de Cholet"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Château-Gontier"	"Toile"	"6"	"6a"	""		""	""	"linens"	"Toile ; de chateau Gentier"	"Toile ; de Château-Gontier"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Comté"	"Toile"	"6"	"6a"	""		""	""	"linens"	"Toile ; de comté"	"Toile ; de Comté"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Flandre"	"Toile"	"6"	"6a"	""		""	""	""	"Toile ; de flandre"	"Toile ; de Flandre"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de France"	"Toile"	"6"	"6"	""		""	""	""	"Toiles ; De fria"	"Toile ; de France"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Grenoble"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; de grenoble"	"Toile ; de Grenoble"	""	""	""	""	0	0	1	"matched (3)"
"Toile ; de Laval"	"Toile"	"6"	"6"	""		""	""	""	"Toile ; de Laval"	"Toile ; de Laval"	""	""	""	""	0	0	1	"matched (3)"
